Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,158,12,P:System.Windows.Forms.Form.BackColor,,,,,this.BackColor = System.Drawing.Color.Black;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,157,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,157,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,157,12,F:System.Windows.Forms.AutoScaleMode.Font,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,157,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,157,12,P:System.Windows.Forms.ContainerControl.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,156,12,P:System.Windows.Forms.ContainerControl.AutoScaleDimensions,,,,,"this.AutoScaleDimensions = new System.Drawing.SizeF(8F, 16F);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,152,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,this.notesDataGridViewTextBoxColumn.Width = 125;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,152,12,P:System.Windows.Forms.DataGridViewColumn.Width,,,,,this.notesDataGridViewTextBoxColumn.Width = 125;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,151,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,this.notesDataGridViewTextBoxColumn.ReadOnly = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,151,12,P:System.Windows.Forms.DataGridViewColumn.ReadOnly,,,,,this.notesDataGridViewTextBoxColumn.ReadOnly = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,150,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,"this.notesDataGridViewTextBoxColumn.Name = ""notesDataGridViewTextBoxColumn"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,150,12,P:System.Windows.Forms.DataGridViewColumn.Name,,,,,"this.notesDataGridViewTextBoxColumn.Name = ""notesDataGridViewTextBoxColumn"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,149,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,this.notesDataGridViewTextBoxColumn.MinimumWidth = 6;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,149,12,P:System.Windows.Forms.DataGridViewColumn.MinimumWidth,,,,,this.notesDataGridViewTextBoxColumn.MinimumWidth = 6;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,148,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,"this.notesDataGridViewTextBoxColumn.HeaderText = ""Notes"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,148,12,P:System.Windows.Forms.DataGridViewColumn.HeaderText,,,,,"this.notesDataGridViewTextBoxColumn.HeaderText = ""Notes"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,147,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,"this.notesDataGridViewTextBoxColumn.DataPropertyName = ""Notes"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,147,12,P:System.Windows.Forms.DataGridViewColumn.DataPropertyName,,,,,"this.notesDataGridViewTextBoxColumn.DataPropertyName = ""Notes"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,143,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,this.elapsedTimeDataGridViewTextBoxColumn.Width = 125;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,143,12,P:System.Windows.Forms.DataGridViewColumn.Width,,,,,this.elapsedTimeDataGridViewTextBoxColumn.Width = 125;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,142,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,this.elapsedTimeDataGridViewTextBoxColumn.ReadOnly = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,142,12,P:System.Windows.Forms.DataGridViewColumn.ReadOnly,,,,,this.elapsedTimeDataGridViewTextBoxColumn.ReadOnly = true;
